@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
232,5805,0,5298,507,0.912661,1,0.522832,1,0.477168,0.686657,0.956331,1.045663,0
233,5805,0,5297,508,0.912489,1,0.522879,1,0.477121,0.686698,0.956245,1.045758,0
234,5805,0,5296,509,0.912317,1,0.522926,1,0.477074,0.686738,0.956158,1.045852,0
235,5805,0,5295,510,0.912145,1,0.522973,1,0.477027,0.686779,0.956072,1.045946,0
236,5805,0,5294,511,0.911972,1,0.52302,1,0.47698,0.68682,0.955986,1.04604,0
237,5805,0,5293,512,0.9118,1,0.523067,1,0.476933,0.68686,0.9559,1.046134,0
238,5805,0,5292,513,0.911628,1,0.523114,1,0.476886,0.686901,0.955814,1.046229,0
239,5805,0,5291,514,0.911456,1,0.523161,1,0.476839,0.686942,0.955728,1.046323,0
240,5805,0,5290,515,0.911283,1,0.523209,1,0.476791,0.686982,0.955642,1.046417,0
241,5805,0,5289,516,0.911111,1,0.523256,1,0.476744,0.687023,0.955556,1.046512,0
242,5805,0,5288,517,0.910939,1,0.523303,1,0.476697,0.687064,0.955469,1.046606,0
243,5805,0,5287,518,0.910767,1,0.52335,1,0.47665,0.687104,0.955383,1.0467,0
244,5805,0,5286,519,0.910594,1,0.523397,1,0.476603,0.687145,0.955297,1.046795,0
245,5805,0,5285,520,0.910422,1,0.523445,1,0.476555,0.687186,0.955211,1.046889,0
246,5805,0,5284,521,0.91025,1,0.523492,1,0.476508,0.687226,0.955125,1.046983,0
247,5805,0,5283,522,0.910078,1,0.523539,1,0.476461,0.687267,0.955039,1.047078,0
248,5805,0,5282,523,0.909905,1,0.523586,1,0.476414,0.687308,0.954953,1.047172,0
249,5805,0,5281,524,0.909733,1,0.523633,1,0.476367,0.687348,0.954866,1.047267,0
250,5805,0,5280,525,0.909561,1,0.523681,1,0.476319,0.687389,0.95478,1.047361,0
251,5805,0,5279,526,0.909388,1,0.523728,1,0.476272,0.68743,0.954694,1.047456,0
252,5805,0,5278,527,0.909216,1,0.523775,1,0.476225,0.68747,0.954608,1.04755,0
253,5805,0,5277,528,0.909044,1,0.523822,1,0.476178,0.687511,0.954522,1.047645,0
254,5805,0,5276,529,0.908872,1,0.52387,1,0.47613,0.687552,0.954436,1.047739,0
255,5805,0,5275,530,0.908699,1,0.523917,1,0.476083,0.687593,0.95435,1.047834,0
256,5805,0,5274,531,0.908527,1,0.523964,1,0.476036,0.687633,0.954264,1.047929,0
257,5805,0,5273,532,0.908355,1,0.524012,1,0.475988,0.687674,0.954177,1.048023,0
258,5805,0,5272,533,0.908183,1,0.524059,1,0.475941,0.687715,0.954091,1.048118,0
259,5805,0,5271,534,0.90801,1,0.524106,1,0.475894,0.687755,0.954005,1.048212,0
260,5805,0,5270,535,0.907838,1,0.524153,1,0.475847,0.687796,0.953919,1.048307,0
261,5805,0,5269,536,0.907666,1,0.524201,1,0.475799,0.687837,0.953833,1.048402,0
262,5805,0,5268,537,0.907494,1,0.524248,1,0.475752,0.687878,0.953747,1.048496,0
