energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
4900,2,70,2,1,2.942857143,0.192310455,0.142585034,11.77394149,0
4624,1.901213914,69,1.913650144,1,3.457142857,0.231250633,0.131292517,3.255345862,0
4096,1.909471881,65,1.958597691,1,2.942857143,0.202317515,0.114331066,5.971611695,0
4900,2,70,2,1,3.057142857,0.198761607,0.145170068,6.378025335,0
4761,1.939681498,70,2,1,3.114285714,0.193433122,0.107482993,2.031020599,0
4900,1.913791495,70,2,1,3.314285714,0.208887329,0.172210884,8.484282183,0
4900,2,70,2,1,2.857142857,0.167006523,0.09170068,2.826437154,0
4356,1.940694917,67,2,1,2.742857143,0.144213781,0.096666667,3.935363699,0
4900,2,70,2,1,3.057142857,0.203351236,0.14122449,23.35425872,0
4900,1.899717362,70,2,1,3.2,0.186932401,0.152993197,2.779471087,0
3844,1.952676423,63,2,1,3.171428571,0.184080646,0.11414966,6.70011581,0
0,(2+0j),66,(2+0j),1,2.628571429,0.158671796,0.087619048,2.338501225,0
439870.4603,0.002300999,4.473283679,0.000710019,0,0.088028312,0.000745119,0.001091404,31.74751817,
